DATE,DAILY,TOTAL
2/2/2026,9.2,9.2
2/3/2026,3.12,12.32
2/4/2026,0.88,13.2
2/5/2026,-24.68,-11.48
2/6/2026,8.13,-3.35
2/9/2026,1.99,-1.36
2/10/2026,6.66,5.3
2/11/2026,9.7,15
2/12/2026,-16.79,-1.79
2/13/2026,-3.03,-4.82
2/17/2026,-5.1,-9.92
2/18/2026,8.87,-1.05
2/19/2026,-0.77,-1.82
2/20/2026,30.15,28.33
2/23/2026,6.37,34.7
2/24/2026,6.48,41.18
2/25/2026,69.64,110.82
2/26/2026,6.36,117.18
2/27/2026,30.37,147.55
3/2/2026,-21.55,126
3/3/2026,52.73,178.73
3/4/2026,15.62,194.35
3/5/2026,71.87,266.22
3/6/2026,45.07,311.29
